0,5,"[477, 177, 507, 273]",53
1,5,"[477, 176, 506, 273]",53,"[0, -1]"
2,5,"[477, 177, 505, 272]",53,"[0, 1]"
3,5,"[477, 177, 505, 272]",53,"[0, 0]"
4,5,"[477, 177, 506, 273]",53,"[0, 0]"
5,5,"[477, 178, 506, 272]",53,"[0, 1]"
6,5,"[477, 177, 507, 273]",53,"[0, -1]"
7,5,"[477, 176, 507, 273]",53,"[0, -1]"
8,5,"[477, 177, 507, 272]",53,"[0, 1]"
9,5,"[477, 177, 507, 273]",53,"[0, 0]"
10,5,"[477, 178, 507, 271]",53,"[0, 1]"
11,5,"[477, 176, 507, 275]",53,"[0, -2]"
12,5,"[477, 177, 506, 272]",53,"[0, 1]"
13,5,"[477, 178, 506, 272]",53,"[0, 1]"
14,5,"[477, 177, 506, 272]",53,"[0, -1]"
15,5,"[477, 176, 506, 273]",53,"[0, -1]"
16,5,"[477, 176, 506, 273]",53,"[0, 0]"
17,5,"[477, 176, 506, 274]",53,"[0, 0]"
18,5,"[478, 176, 507, 272]",53,"[1, 0]"
19,5,"[477, 177, 506, 272]",53,"[-1, 1]"
20,5,"[478, 177, 507, 272]",53,"[1, 0]"
21,5,"[478, 176, 506, 273]",53,"[0, -1]"
22,5,"[477, 177, 506, 272]",53,"[-1, 1]"
23,5,"[477, 177, 506, 273]",53,"[0, 0]"
24,5,"[477, 176, 507, 272]",53,"[0, -1]"
25,5,"[478, 176, 507, 273]",53,"[1, 0]"
26,5,"[478, 176, 507, 273]",53,"[0, 0]"
27,5,"[477, 177, 506, 272]",53,"[-1, 1]"
28,5,"[477, 176, 506, 273]",53,"[0, -1]"
29,5,"[478, 176, 507, 272]",53,"[1, 0]"
30,5,"[477, 176, 506, 273]",53,"[-1, 0]"
31,5,"[477, 176, 507, 274]",53,"[0, 0]"
32,5,"[477, 176, 507, 273]",53,"[0, 0]"
33,5,"[477, 175, 506, 274]",53,"[0, -1]"
34,5,"[477, 175, 506, 274]",53,"[0, 0]"
35,5,"[477, 176, 507, 273]",53,"[0, 1]"
36,5,"[477, 176, 507, 274]",53,"[0, 0]"
37,5,"[477, 176, 507, 273]",53,"[0, 0]"
38,5,"[477, 176, 507, 273]",53,"[0, 0]"
39,5,"[477, 175, 507, 274]",53,"[0, -1]"
40,5,"[477, 175, 506, 273]",53,"[0, 0]"
41,5,"[477, 176, 507, 273]",53,"[0, 1]"
42,5,"[477, 177, 506, 273]",53,"[0, 1]"
43,5,"[477, 176, 506, 273]",53,"[0, -1]"
44,5,"[477, 176, 506, 273]",53,"[0, 0]"
45,5,"[477, 175, 507, 273]",53,"[0, -1]"
46,5,"[477, 177, 506, 273]",53,"[0, 2]"
47,5,"[478, 179, 506, 270]",53,"[1, 2]"
48,5,"[481, 179, 506, 272]",54,"[3, 0]"
49,5,"[479, 179, 507, 271]",54,"[-2, 0]"
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65,5,"[479, 178, 507, 271]",54
66,5,"[478, 178, 507, 271]",53,"[-1, 0]"
67,5,"[480, 178, 507, 270]",54,"[2, 0]"
68,5,"[479, 178, 506, 271]",53,"[-1, 0]"
69,5,"[478, 179, 505, 271]",53,"[-1, 1]"
70,5,"[479, 178, 505, 272]",53,"[1, -1]"
71,5,"[477, 178, 505, 272]",53,"[-2, 0]"
72,5,"[477, 179, 505, 270]",53,"[0, 1]"
73,5,"[477, 179, 506, 270]",53,"[0, 0]"
74,5,"[477, 177, 507, 271]",53,"[0, -2]"
75,5,"[476, 177, 506, 274]",53,"[-1, 0]"
76,5,"[477, 177, 506, 273]",53,"[1, 0]"
77,5,"[477, 178, 505, 272]",53,"[0, 1]"
78,5,"[476, 176, 505, 274]",53,"[-1, -2]"
79,5,"[475, 178, 505, 272]",53,"[-1, 2]"
80,5,"[474, 178, 506, 272]",53,"[-1, 0]"
81,5,"[471, 183, 501, 274]",51,"[-3, 5]"
82,5,"[473, 178, 502, 273]",52,"[2, -5]"
83,5,"[467, 186, 497, 273]",50,"[-6, 8]"
84,5,"[467, 184, 498, 275]",50,"[0, -2]"
85,5,"[465, 185, 497, 274]",50,"[-2, 1]"
86,5,"[465, 184, 498, 274]",50,"[0, -1]"
87,5,"[467, 174, 497, 274]",50,"[2, -10]"
88,5,"[467, 176, 495, 274]",50,"[0, 2]"
89,5,"[463, 185, 495, 274]",49,"[-4, 9]"
90,5,"[459, 184, 492, 276]",48,"[-4, -1]"
91,5,"[458, 183, 491, 277]",48,"[-1, -1]"
92,5,"[460, 176, 490, 274]",48,"[2, -7]"
93,5,"[459, 175, 491, 274]",48,"[-1, -1]"
94,5,"[452, 178, 488, 272]",46,"[-7, 3]"
95,5,"[451, 178, 488, 272]",46,"[-1, 0]"
96,5,"[451, 178, 489, 272]",46,"[0, 0]"
97,5,"[452, 176, 489, 274]",47,"[1, -2]"
