0,5,"[471, 177, 500, 273]",51
1,5,"[469, 176, 498, 272]",51,"[-2, -1]"
2,5,"[468, 175, 497, 272]",50,"[-1, -1]"
3,5,"[468, 175, 497, 274]",50,"[0, 0]"
4,5,"[469, 175, 497, 274]",50,"[1, 0]"
5,5,"[470, 175, 498, 274]",51,"[1, 0]"
6,5,"[473, 176, 500, 273]",52,"[3, 1]"
7,5,"[473, 177, 501, 272]",52,"[0, 1]"
8,5,"[474, 177, 502, 271]",52,"[1, 0]"
9,5,"[471, 177, 501, 271]",51,"[-3, 0]"
10,5,"[468, 177, 502, 271]",51,"[-3, 0]"
11,5,"[465, 177, 500, 270]",50,"[-3, 0]"
12,5,"[463, 180, 496, 270]",49,"[-2, 3]"
13,5,"[459, 179, 494, 271]",48,"[-4, -1]"
14,5,"[456, 179, 493, 272]",48,"[-3, 0]"
15,5,"[454, 181, 485, 270]",46,"[-2, 2]"
16,5,"[455, 181, 482, 271]",46,"[1, 0]"
17,5,"[454, 180, 483, 273]",46,"[-1, -1]"
18,5,"[454, 180, 483, 272]",46,"[0, 0]"
19,5,"[454, 188, 483, 269]",46,"[0, 8]"
20,5,"[454, 180, 483, 272]",46,"[0, -8]"
21,5,"[454, 180, 484, 273]",46,"[0, 0]"
22,5,"[455, 180, 484, 272]",46,"[1, 0]"
23,5,"[455, 180, 484, 272]",46,"[0, 0]"
24,5,"[455, 180, 484, 272]",46,"[0, 0]"
25,5,"[455, 180, 484, 273]",46,"[0, 0]"
26,5,"[455, 180, 484, 272]",46,"[0, 0]"
27,5,"[455, 180, 484, 272]",46,"[0, 0]"
28,5,"[455, 179, 484, 273]",46,"[0, -1]"
29,5,"[455, 179, 485, 273]",46,"[0, 0]"
30,5,"[456, 180, 484, 272]",46,"[1, 1]"
31,5,"[456, 180, 484, 272]",46,"[0, 0]"
32,5,"[460, 177, 487, 272]",47,"[4, -3]"
33,5,"[461, 178, 488, 272]",48,"[1, 1]"
34,5,"[461, 179, 490, 270]",48,"[0, 1]"
